,s_BMI,Mother_BMI,Father_BMI,student_bmi,father_bmi,mother_bmi
80,17.130941827217214,25.536703601108034,25.79591836734694,healthy,healthy,healthy
81,17.654265983515252,21.484374999999996,34.602076124567475,healthy,healthy,healthy
82,16.559789744088928,29.296874999999993,25.781249999999996,healthy,healthy,healthy
83,18.208339620743423,20.703124999999996,24.835646457268076,healthy,healthy,healthy
84,15.208907254361801,23.633714880332985,30.824829931972793,healthy,healthy,healthy
85,16.76254711366792,24.88888888888889,25.390624999999996,healthy,healthy,healthy
86,16.86173378297957,23.437499999999996,26.19618735008206,healthy,healthy,healthy
87,16.930274003118733,20.761245674740486,29.387755102040817,healthy,healthy,healthy
88,18.322566273112052,20.82999519307803,24.251278305332356,healthy,healthy,healthy
89,19.779456663593585,25.781249999999996,23.668639053254438,healthy,healthy,healthy
90,16.414141414141408,30.468749999999993,20.515086478979924,healthy,healthy,healthy
91,22.038695849689564,27.01685988851271,22.59814049586777,healthy,healthy,healthy
92,25.71957739752356,24.034609838166958,24.515595463137995,healthy,healthy,healthy
93,17.993404866297983,26.562499999999996,24.61810377477591,healthy,healthy,healthy
94,15.752993068683047,29.296874999999993,34.54054238911118,healthy,healthy,healthy
95,15.736703806462033,34.927679158448385,24.092970521541954,healthy,healthy,healthy
96,12.222725215029428,21.9671201814059,27.777777777777775,healthy,healthy,healthy
97,14.814814814814813,31.217481789802285,27.548209366391188,healthy,healthy,healthy
98,21.801674160389773,32.049981743681286,25.95155709342561,healthy,healthy,healthy
99,21.275510204081627,21.907582457706194,30.477966223242138,healthy,healthy,healthy
100,15.810276679841895,25.806451612903224,26.643598615916957,healthy,healthy,healthy
101,16.836734693877553,27.636054421768712,29.387755102040817,healthy,healthy,healthy
102,16.17044277284807,35.15624999999999,23.888440980620498,healthy,healthy,healthy
103,18.07325330871037,26.29757785467128,27.755102040816325,healthy,healthy,healthy
104,15.940103852191765,27.358845456721728,26.85185185185185,healthy,healthy,healthy
105,16.92014279426867,39.06249999999999,32.6530612244898,healthy,healthy,healthy
106,21.712553181084647,24.740937287102444,26.583175803402646,healthy,healthy,healthy
